0_x,0_y,1_x,1_y,2_x,2_y
-124.676594,9.000550,-123.402781,9.000550,-124.421832,7.981547
-126.714695,7.981547,-125.440882,7.726796,-126.714695,7.981547
-127.733745,8.745799,-127.224220,9.255301,-128.498033,9.510051
-130.790896,9.000550,-129.517083,8.745799,-131.045658,8.745799
-131.555183,8.745799,-130.536133,9.000550,-131.809946,10.019553
-135.121859,9.000550,-133.848047,9.000550,-135.121859,8.491048
-135.631384,8.745799,-134.612334,9.255301,-135.121859,9.510051
-138.179010,10.274304,-137.924248,9.255301,-137.924248,9.255301
-140.217111,8.745799,-138.433773,9.510051,-139.962348,9.764802
-142.509974,9.510051,-140.726636,9.764802,-141.236161,9.255301
-144.038549,8.745799,-142.764736,8.745799,-143.529024,9.000550
-145.567125,9.510051,-144.802837,9.510051,-144.802837,9.764802
-148.369513,8.745799,-146.586175,7.981547,-147.859988,8.236298
-149.133800,8.491048,-148.369513,8.745799,-148.879038,9.255301
-152.190951,7.981547,-150.917138,8.491048,-151.936189,7.472045
-152.700476,7.726796,-152.445714,8.491048,-152.445714,8.236298
-156.012390,8.236298,-154.738577,7.981547,-155.757627,7.472045
-157.540965,6.198292,-156.012390,7.217295,-156.776677,6.962544
-159.069540,6.962544,-158.050490,6.962544,-158.814778,6.453042
-160.598116,5.688790,-160.088591,6.707793,-160.852878,5.943541
-163.145741,6.198292,-161.107641,6.198292,-163.145741,5.688790
-165.693367,5.179289,-164.419554,5.179289,-165.438605,4.415036
-166.202892,4.924538,-165.183842,5.434039,-165.693367,5.943541
-169.260043,4.160285,-168.240993,3.905535,-169.005280,3.141282
-171.043381,4.415036,-169.005280,4.669787,-169.769568,4.924538
-172.826719,3.396033,-172.062431,3.396033,-172.826719,2.631781
-174.610057,3.396033,-173.591007,3.141282,-174.355294,3.141282
-176.138632,3.905535,-176.138632,3.650784,-176.902920,2.886532
-178.176733,2.377030,-177.412445,2.631781,-178.431495,2.886532
-178.176733,3.141282,-179.450546,2.631781,-178.941020,2.122279
-175.883870,2.886532,-177.412445,2.122279,-176.393395,2.122279
-172.826719,3.396033,-175.119582,3.905535,-173.591007,3.650784
-172.062431,3.650784,-173.336244,2.631781,-172.826719,2.631781
-168.750518,4.160285,-169.769568,4.415036,-168.495755,3.905535
-167.731468,5.434039,-169.260043,3.396033,-168.240993,3.141282
-164.419554,4.924538,-165.438605,4.669787,-164.419554,5.434039
-161.617166,6.198292,-164.674317,5.179289,-163.655267,5.179289
-160.598116,5.688790,-161.107641,5.434039,-161.107641,5.943541
-157.540965,7.472045,-160.598116,6.453042,-158.814778,6.198292
-156.776677,6.962544,-157.286202,5.943541,-156.521915,6.707793
-153.464764,7.472045,-155.502865,7.726796,-154.483814,7.472045
-152.955239,7.726796,-152.955239,6.453042,-152.190951,6.962544
-148.879038,7.726796,-150.407613,9.000550,-150.152851,7.726796
-147.859988,8.491048,-149.898088,7.981547,-148.624275,7.981547
-145.312362,7.981547,-146.076650,9.255301,-145.567125,9.255301
-143.529024,9.764802,-145.312362,9.000550,-144.548074,8.491048
-141.490923,8.745799,-142.764736,9.000550,-140.981398,9.255301
-139.198060,10.019553,-140.726636,9.255301,-139.452823,9.255301
-137.159960,9.510051,-138.433773,9.764802,-137.669485,9.764802
-134.612334,9.510051,-136.395672,9.764802,-135.376622,9.510051
-133.848047,9.000550,-135.121859,9.000550,-133.593284,9.510051
-129.771845,9.255301,-131.809946,10.274304,-130.790896,10.019553
-129.262320,9.000550,-130.790896,8.491048,-129.517083,8.491048
-126.205170,8.236298,-127.478982,9.510051,-127.478982,8.745799
-124.931357,9.255301,-126.714695,7.981547,-124.931357,8.491048
-122.893256,7.726796,-124.167069,8.236298,-122.383731,8.491048
-120.600393,8.745799,-122.383731,8.236298,-121.619443,7.981547
-119.326580,7.217295,-119.581343,7.726796,-118.562293,7.472045
-116.014667,7.981547,-117.798005,7.726796,-117.033717,6.962544
-114.995617,6.453042,-116.014667,6.962544,-114.740854,6.962544
-111.938466,6.707793,-113.721804,7.217295,-113.212279,6.453042
-110.409891,5.943541,-112.447991,5.434039,-110.919416,5.179289
-108.371790,5.434039,-108.881315,6.198292,-108.881315,5.434039
-106.333690,4.924538,-108.117027,4.669787,-107.352740,4.160285
-104.550352,4.160285,-105.059877,5.688790,-104.295589,5.179289
-102.512251,4.415036,-104.295589,4.415036,-103.276539,4.415036
-100.474151,2.886532,-100.983676,4.160285,-99.964625,3.650784
-97.417000,3.905535,-99.709863,3.650784,-99.455100,3.396033
-96.907475,2.631781,-97.671762,3.141282,-96.143187,3.141282
-93.850324,3.905535,-95.378899,2.631781,-95.888424,3.396033
-92.066986,2.631781,-93.850324,2.122279,-92.576511,1.358027
-89.519360,2.377030,-91.047936,3.141282,-90.538411,2.886532
-88.500310,2.631781,-90.028885,1.358027,-88.755073,1.867529
-86.207447,2.122279,-86.716972,2.377030,-86.716972,2.631781
-84.424109,2.886532,-85.697922,1.358027,-84.933634,2.631781
-81.621721,2.377030,-83.659821,2.631781,-82.640771,2.377030
-79.583620,4.669787,-81.621721,2.377030,-81.621721,2.886532
-79.074095,3.905535,-79.583620,2.886532,-78.055045,2.886532
-75.762182,5.434039,-77.545520,2.631781,-77.035995,3.650784
-74.997894,4.669787,-75.762182,3.650784,-73.724081,3.905535
-71.940743,4.669787,-72.705031,4.669787,-73.469319,4.160285
-70.921693,4.669787,-71.431218,3.396033,-70.921693,3.650784
-68.374067,5.179289,-69.902643,5.179289,-68.883593,5.688790
-66.335967,5.688790,-68.628830,5.179289,-66.845492,4.669787
-64.552629,6.453042,-65.316917,5.688790,-65.316917,5.943541
-62.769291,7.472045,-64.297866,5.943541,-63.533579,6.707793
-61.495478,6.707793,-61.240716,6.707793,-60.221665,6.962544
-57.928802,7.981547,-60.476428,7.981547,-59.457378,7.217295
-57.674040,6.962544,-57.928802,6.962544,-56.400227,7.726796
-55.126414,8.236298,-55.890702,8.745799,-55.890702,7.981547
-53.343076,7.981547,-54.107364,7.981547,-52.578788,7.726796
-50.795450,9.000550,-51.559738,9.000550,-51.304976,9.000550
-49.012112,9.000550,-50.795450,7.981547,-49.521638,8.236298
-46.974012,9.255301,-47.483537,9.764802,-47.483537,9.764802
-45.190674,10.019553,-46.974012,9.255301,-45.954962,8.745799
-43.662099,8.491048,-43.662099,9.255301,-42.388286,10.274304
-40.859710,10.019553,-42.133523,9.255301,-42.388286,8.745799
-40.095423,8.745799,-40.604948,9.255301,-38.821610,9.510051
-36.783509,10.019553,-38.821610,9.510051,-38.312085,9.255301
-35.764459,9.255301,-36.783509,8.745799,-35.764459,9.255301
-33.216833,8.745799,-34.745409,10.274304,-34.235884,9.000550
-32.452546,8.745799,-33.216833,8.491048,-32.197783,7.726796
