0_x,0_y,1_x,1_y
-97.335272,-84.492979,-96.061465,-82.964474
-99.882885,-83.983477,-98.354317,-82.200222
-100.137646,-85.766733,-97.844794,-84.747730
-101.666214,-85.766733,-99.882885,-84.492979
-101.920975,-87.549988,-100.901930,-86.530985
-103.194782,-87.295237,-101.411453,-86.785736
-104.213827,-89.078492,-103.959066,-87.295237
-105.997156,-89.078492,-104.213827,-88.568991
-106.251917,-90.352246,-105.742395,-88.823742
-107.525724,-90.861748,-105.487633,-89.587994
-108.544769,-91.116498,-107.780485,-90.861748
-109.309053,-91.626000,-107.525724,-92.135502
-111.347144,-92.899754,-110.073337,-91.626000
-110.582860,-93.918757,-110.582860,-93.154505
-113.385234,-93.918757,-111.347144,-92.899754
-113.639995,-95.956763,-112.366189,-94.428258
-114.659041,-95.447261,-112.620950,-95.192511
-115.932847,-97.994769,-115.168563,-96.466264
-116.442370,-97.994769,-115.168563,-97.994769
-117.970938,-99.013772,-117.206654,-97.994769
-118.989983,-99.778024,-117.206654,-99.013772
-120.009028,-101.051778,-119.754267,-99.013772
-119.244744,-101.561280,-119.499505,-101.306529
-119.244744,-100.032775,-120.009028,-100.797027
-116.442370,-99.013772,-117.716176,-101.051778
-116.187608,-97.994769,-117.206654,-98.504271
-113.894757,-97.740018,-115.678086,-98.759021
-114.149518,-95.447261,-114.659041,-96.721015
-112.366189,-95.447261,-113.385234,-95.956763
-110.837621,-93.918757,-112.111427,-94.937760
-109.818576,-92.899754,-111.601905,-93.918757
-107.780485,-92.135502,-109.054292,-93.409255
-108.035247,-91.371249,-108.799530,-92.390252
-104.978111,-90.606997,-106.761440,-91.371249
-105.487633,-89.078492,-106.761440,-89.842745
-103.194782,-89.333243,-104.468588,-90.352246
-102.685259,-87.040486,-103.959066,-87.549988
-101.666214,-87.804739,-102.685259,-89.078492
-100.647169,-86.276234,-101.156691,-87.040486
-99.628123,-85.511982,-100.647169,-87.295237
-98.354317,-84.492979,-99.373362,-85.511982
-97.335272,-83.219225,-98.099556,-84.747730
-95.551942,-82.709723,-96.316226,-83.728726
-95.551942,-80.926468,-96.570988,-82.454973
-92.749568,-79.907465,-94.023375,-80.926468
-92.240045,-77.359957,-94.532897,-79.907465
